Date,Not indexed,Indexed,Impressions
2025-10-12,,,3
2025-10-13,,,42
2025-10-14,37,10,17
2025-10-15,36,11,33
2025-10-16,36,11,26
2025-10-17,36,11,61
2025-10-18,36,11,32
2025-10-19,37,11,96
2025-10-20,37,11,66
2025-10-21,37,11,148
2025-10-22,36,12,75
2025-10-23,36,12,95
2025-10-24,36,12,12
2025-10-25,36,12,9
2025-10-26,37,12,27
2025-10-27,37,12,112
2025-10-28,37,12,95
2025-10-29,37,12,93
2025-10-30,37,12,56
2025-10-31,37,12,29
2025-11-01,37,12,9
2025-11-02,37,12,64
2025-11-03,37,12,65
2025-11-04,37,12,28
2025-11-05,37,12,45
2025-11-06,37,12,30
2025-11-07,37,12,23
2025-11-08,37,12,13
2025-11-09,37,12,15
2025-11-10,37,12,14
2025-11-11,37,12,34
2025-11-12,37,12,23
2025-11-13,37,12,17
2025-11-14,37,12,13
2025-11-15,37,12,22
2025-11-16,37,12,7
2025-11-17,37,12,7
2025-11-18,37,12,20
2025-11-19,37,12,31
2025-11-20,37,12,16
2025-11-21,37,12,22
2025-11-22,37,12,34
2025-11-23,39,12,29
2025-11-24,39,12,29
2025-11-25,39,12,22
2025-11-26,39,12,30
2025-11-27,39,12,25
2025-11-28,39,12,26
2025-11-29,39,12,26
2025-11-30,39,12,18
2025-12-01,39,12,41
2025-12-02,39,12,79
2025-12-03,39,12,34
2025-12-04,39,12,5
2025-12-05,39,12,9
2025-12-06,39,12,61
2025-12-07,39,12,26
2025-12-08,39,12,25
2025-12-09,39,12,64
2025-12-10,39,12,66
2025-12-11,39,12,34
2025-12-12,39,12,15
2025-12-13,39,12,11
2025-12-14,39,12,10
2025-12-15,39,12,14
2025-12-16,33,12,31
2025-12-17,33,12,30
2025-12-18,33,12,13
2025-12-19,33,12,12
2025-12-20,33,12,10
2025-12-21,33,12,8
2025-12-22,33,12,8
2025-12-23,33,12,9
2025-12-24,28,12,8
2025-12-25,28,12,20
2025-12-26,28,12,13
2025-12-27,28,12,3
2025-12-28,28,12,10
2025-12-29,28,12,6
2025-12-30,28,12,5
2025-12-31,28,12,8
2026-01-01,28,12,8
2026-01-02,28,12,11
2026-01-03,28,12,3
